price,mean_commute_time,median_home_value,percent_bachelors_or_higher,percent_below_poverty,percent_highschool_or_higher,percent_no_health_insurance,rating,review_count,unemployment_rate,median_household_income,population,density,income_category,price_weight,price_weight_contr,price_weight_contrv2,zip_code,high_price,4_star,zip_code.1,inc_cat2,inc_cat3
1.5,32.9,452900.0,64.8,23.0,90.2,5.1,4.25,553.0,5.1,300000.0,19424.0,6259.7,3.0,3599.75,18.53248558484349,3.2176688632619443,2134,0,0,2134,4,2
1.8333333333333333,23.60000000000001,748200.0,84.90000000000005,8.0,97.59999999999997,2.400000000000001,3.763888888888889,710.3611111111112,4.699999999999998,42217.0,38835.0,5116.299999999998,1.0,5209.86111111111,13.415375591891625,1.7774630559489581,2138,4,0,2138,2,1
2.0526315789473686,24.39999999999999,644300.0,76.5,15.8,94.40000000000003,2.2999999999999985,3.842105263157895,754.3947368421052,4.300000000000002,75121.0,38272.0,9009.299999999994,2.0,6263.631578947368,16.36609421756733,2.0662350378454493,2139,4,1,2139,3,2
1.875,31.1,671200.0,68.8,16.5,93.79999999999998,2.8000000000000003,3.9375,551.5,6.299999999999999,85421.0,21338.0,5888.0,2.0,3928.625,18.41140219327022,3.4562751898022306,2140,0,0,2140,3,2
2.0,26.0,583300.0,66.3,16.3,89.3,1.5,3.6666666666666665,483.66666666666674,6.8,36520.0,14052.0,7142.899999999999,1.0,3592.666666666666,25.56694183508872,5.218711452699497,2141,0,0,2141,1,1
2.071428571428572,30.399999999999995,550200.0,70.39999999999998,21.6,92.79999999999997,3.0,3.928571428571429,589.5,3.600000000000001,300000.0,26151.0,6130.0,3.0,4786.642857142857,18.303861638724552,3.113784231141121,2143,1,0,2143,4,2
1.6944444444444444,32.79999999999998,635500.0,71.59999999999997,8.699999999999996,94.09999999999997,2.900000000000001,3.8055555555555554,470.5,3.799999999999999,49990.0,25277.0,8522.799999999996,1.0,3276.180555555556,12.961113089193953,2.544034321935181,2144,0,0,2144,2,1
2.0,32.4,472100.0,40.4,9.7,84.10000000000002,5.1000000000000005,4.142857142857143,638.8571428571429,6.9,53947.0,26868.0,7035.9000000000015,1.0,5396.142857142857,20.083902252281,3.0838597162849064,2145,1,0,2145,2,1
1.2857142857142858,34.4,359400.0,35.30000000000001,17.599999999999994,86.5,5.0,3.6428571428571432,131.85714285714286,6.0,13503.0,61354.0,4553.7,0.0,684.3571428571429,1.1154238401035677,0.7683746315294381,2148,0,0,2148,1,1
2.0,34.0,357300.0,19.5,8.9,79.8,7.1,4.0,447.5,7.2,300000.0,45596.0,4686.6,3.0,3546.5,7.778094569699097,1.7545398719185894,2149,0,0,2149,4,2
2.0,32.1,308300.0,17.4,20.7,69.8,7.099999999999999,4.166666666666667,377.0,5.5,55717.0,39842.0,6133.100000000001,2.0,3453.333333333333,8.667570235764602,2.09159513411308,2150,0,0,2150,2,1
1.6694214876033058,31.69999999999993,443100.0,49.600000000000065,9.100000000000009,92.29999999999987,3.1000000000000045,3.6652892561983466,121.66115702479338,4.800000000000002,300000.0,59793.0,2731.0,3.0,780.7066115702478,1.3056822898503968,1.0324877024080183,2155,4,0,2155,4,2
2.0,32.7,463300.0,55.0,5.5,94.4,0.9,5.0,35.0,3.7,300000.0,28116.0,2224.9,3.0,350.0,1.244842794138569,3.5566936975387677,2176,0,0,2176,4,2
1.7647058823529411,29.200000000000035,438700.0,44.8,7.600000000000005,94.3000000000001,2.0,3.7352941176470584,89.35294117647058,4.0,61426.0,22144.0,1376.0,2.0,577.2450980392158,2.6067788025614878,2.939759718916468,2180,3,0,2180,3,2
2.0,34.4,402000.0,41.5,7.7,94.1,1.3,3.5,37.0,6.0,53984.0,37207.0,1002.8,1.0,259.0,0.6961055715322385,1.8813664095465907,2184,0,0,2184,2,1
2.0,32.9,558700.0,61.8,9.2,95.6,1.1,3.0,13.0,3.9,300000.0,27568.0,801.0,3.0,78.0,0.2829367382472432,2.176436448055717,2186,0,0,2186,4,2
2.0434782608695654,22.0,465900.0,80.0,45.0,95.40000000000003,4.200000000000002,3.760869565217391,859.7826086956521,8.599999999999996,25568.0,25619.0,13185.200000000004,0.0,7156.195652173914,27.93315762587889,2.9869135848563486,2215,4,1,2215,1,1
2.0,36.3,283500.0,28.7,9.2,85.4,3.5,3.5,77.0,10.5,73608.0,34232.0,1232.6,2.0,539.0,1.5745501285347043,2.044870296798317,2368,0,0,2368,3,2
2.1666666666666665,31.8,813900.0,80.60000000000002,4.0,97.7,0.9,4.25,62.33333333333334,3.5,160361.0,14496.0,823.6999999999998,3.0,545.0,3.7596578366445916,6.323583517292127,2420,1,0,2420,4,2
1.6666666666666667,30.2,797700.0,80.4,5.7,97.7,1.2,4.166666666666667,433.0,4.0,93357.0,21324.0,3066.4,3.0,3054.666666666666,14.325017195022824,3.2826861752016505,2445,0,0,2445,3,2
1.8947368421052633,29.0,805800.0,84.40000000000002,8.400000000000002,96.59999999999997,2.3999999999999995,3.8684210526315783,643.2631578947369,3.2999999999999985,78981.0,29834.0,8793.0,2.0,4851.605263157895,16.262000613923348,2.4609858762344623,2446,0,0,2446,3,2
2.0,25.2,494300.0,52.8,3.3,92.9,3.6,5.0,63.0,5.6,97462.0,15288.0,1485.3,3.0,630.0,4.12087912087912,6.541077969649397,2452,0,0,2452,3,2
4.0,27.2,480500.0,63.4,8.6,94.5,2.3,2.5,39.0,4.2,300000.0,35387.0,3062.0,3.0,390.0,1.1020996411111423,2.825896515669596,2472,1,1,2472,4,2
